title,director,country,genre,year
Книга видения,Карло Хинтерманн,"Италия, Бельгия, Великобритания","[d], драматический фильм",2020
Кое-что о Гарри,Питер Пейдж,США,романтическая комедия,2020
Ключ времени,Алексей Тельнов,Россия,"/, фэнтези, приключения, мистика, драма",2020
Клаустрофобы: Квест в Москве,Уилл Верник,США,"фильм-триллер, фильм ужасов",2020
Кольская сверхглубокая,Арсений Сюхин,Россия,"фильм ужасов, научная фантастика, триллер, боди-хоррор",2020
Книги крови,Брэннон Брага,США,"фильм ужасов, сплаттерпанк",2020
Итальянские каникулы,Массимо Венье,Италия,", мелодрама, комедия",2020
Китобой,Филипп  Юрьев,Россия,драма,2020
Капоне. Лицо со шрамом,Джош Транк,"США, Канада","биографическая, драма",2020
Калашников,Константин Буслов,Россия,биография,2020
История семьи Блум,"Глендин Айвин, [d]","США, Австралия","[d], драматический фильм",2020
Как Надя пошла за водкой,Владимир Мирзоев,Россия,трагикомедия,2020
Каджиллионер,Миранда Джулай,США,"[1], история взросления, криминальный фильм",2020
Иччи,Костас Марсаан,,Ужасы,2020
Искусственный интеллект,Бен Фальконе,США,"Романтическая комедия, боевик",2020
Империя комаров,Филип Ян Рымша,"Польша, США","триллер, драма",2020
Изгнание,"Visar Morina, [d]",,драматический фильм,2020
Идеальный кандидат,Хаифа аль-Мансур,Саудовская Аравия,комедийный фильм,2019
"Игры, в которые играют люди",Йенни Тойвониеми,Финляндия,"комедийная, драма",2020
Искусство ограбления,"Джузеппе Капотонди, [d]","США, [3], [4], Италия, [5], [3], […], Великобритания, [5], [3]",[d],2019
Искусство греха,"Ibrahim Mursal, [d]","Норвегия, Судан","[d], документальный фильм",2020
Илхак,Джахонгир Ахмедов,Узбекистан,драма,2020
Игры шпионов,Доминик Кук,Великобритания,историческая драма,2020
Зоя,"Леонид Пляскин, Максим Бриус",Россия,"(, -, ), военно, 12+, историческая, драма",2020
Зови меня Дрозд,Павел Мирзоев,Россия,мелодрама,2020
Золотое кольцо,Шота Гамисония,Россия,"романтическая комедия, мелодрама, роуд-муви",2020
"Земля голубая, будто апельсин",Ирина Цилык,"Украина, Литва",документальное кино,2020
Зов предков,Крис Сандерс,США,приключения,2020
Здесь нет зла,Мохаммад Расулоф,"Иран, [1], Чехия, [1], [4], Германия, [1], [4], […]","[1], фильм-антология, драматический фильм, [2]",2020
Земля кочевников,Хлоя Чжао,США,драма,2020
Залив тишины,Паула ван дер Уст,"Великобритания, Италия, США",триллер,2020
Заклятье. Дом 32,Альберт Пинто,"Испания, Франция",фильм ужасов,2020
"Женщина, которая убежала",Хон Сан Су,Республика Корея,драма,2020
Жизнь за год,Митя Окорн,США,"драма , мелодрама",2020
